	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c4637_g1_i1	Q9USG8	GO:0051321	256.63	80.09	13.31	74.69	meiotic cell cycle

c4716_g2_i2	Q10265	GO:0051082	952.65	4871.26	592.76	47.82	unfolded protein binding

c6256_g1_i1	Q9Y7N6	GO:0046475	29.26	12.01	9.80	178.97	glycerophospholipid catabolic process

c768_g2_i1	Q9Y7Q3	GO:0008150	23.78	2.91	0.00	41.20	biological_process

c1189_g1_i1	Q11118	GO:0051087	733.48	3351.38	810.50	155.54	chaperone binding

c5109_g1_i1	O13991	GO:0055114	1049.77	561.52	83.32	316.13	oxidation-reduction process

c6321_g1_i1	P87058	GO:0042779	39.87	250.54	300.38	32.21	tRNA end turnover

c1032_g1_i1	O42842	GO:0046872	38.19	213.23	380.54	13.01	metal ion binding

c4381_g1_i2	O59759	GO:0030968	21.35	15.59	0.00	46.00	endoplasmic reticulum unfolded protein response

c956_g1_i1	Q10216	GO:0055114	1151.38	23.46	6.27	1644.86	oxidation-reduction process

c5960_g1_i1	Q9HDU3	GO:0050662	166.83	31.53	8.48	59.18	coenzyme binding

c4750_g2_i1	O59932	GO:0055056	525.96	26.39	9.95	29.38	D-glucose transmembrane transporter activity

c933_g1_i2	NA	GO:0055056	2.69	211.34	1.24	1.67	D-glucose transmembrane transporter activity

c4833_g1_i1	O13724	GO:0046872	32.81	1338.20	190.26	28.04	metal ion binding

c4987_g1_i1	Q9P6J6	GO:0044275	17.85	121.65	20.36	8.94	cellular carbohydrate catabolic process

c4446_g2_i1	NA	GO:0044275	21.40	111.83	2.53	18.59	cellular carbohydrate catabolic process

c3940_g2_i1	Q9UT24	GO:0046540	5.79	8.09	11.58	0.00	histamine N-methyltransferase activity

c2232_g1_i1	Q09179	GO:0019740	27.36	16.74	344.22	23.70	nitrogen utilization

c4196_g2_i2	Q10367	GO:0048205	15.45	7.18	0.00	26.91	COPI coating of Golgi vesicle

c4754_g4_i1	Q9P3U7	GO:0055085	176.19	30.36	314.33	391.02	transmembrane transport

c1678_g1_i1	O74399	GO:0043234	16.47	70.81	139.33	15.47	protein complex

c1424_g1_i1	P09202	GO:0046872	635.06	13.37	15.43	2282.34	metal ion binding

c392_g1_i1	Q9P7Q6	GO:0051321	28.59	41.58	3.82	57.46	meiotic cell cycle

c4747_g1_i1	P08093	GO:0030529	189.65	526.52	718.20	50.39	ribonucleoprotein complex

c330_g1_i1	Q09715	GO:0045014	0.00	9.92	29.03	5.63	negative regulation of transcription by glucose

c4533_g4_i1	Q9USV2	GO:0055114	0.00	37.33	15.08	11.41	oxidation-reduction process

c4727_g1_i1	Q9C0U6	GO:0046835	64.78	36.31	15.15	161.99	carbohydrate phosphorylation

c4526_g1_i1	O59814	GO:0055085	263.31	16.02	1.86	175.77	transmembrane transport

c177_g1_i1	Q9UTP0	GO:0030529	82.55	453.10	364.31	4.22	ribonucleoprotein complex

c2813_g1_i1	Q9UTH5	GO:0046475	62.64	17.55	245.36	211.44	glycerophospholipid catabolic process

c4731_g1_i1	P0C8R3	GO:0046872	418.08	1156.20	849.89	97.37	metal ion binding

c4722_g1_i1	O59768	GO:0098655	0.00	0.00	0.00	50.74	cation transmembrane transport

c5026_g1_i1	O94629	GO:0045454	52.20	1267.17	86.53	216.30	cell redox homeostasis

c2758_g2_i1	O13869	GO:0070131	18.80	170.48	43.98	8.80	positive regulation of mitochondrial translation

c3726_g1_i1	P78970	GO:0050291	3.88	0.00	0.00	19.83	sphingosine N-acyltransferase activity

c5272_g1_i1	Q9URV9	GO:0055114	12.69	365.12	26.87	2.88	oxidation-reduction process

c2721_g4_i2	P87229	GO:0043234	47.64	32.55	2.29	50.88	protein complex

c385_g1_i1	Q9P7L8	GO:0046872	10.97	7.81	1.54	38.68	metal ion binding

c2439_g1_i1	NA	GO:0046872	17.00	21.41	349.11	19.20	metal ion binding

c5510_g1_i1	O60079	GO:0036459	4.21	52.26	0.00	0.00	ubiquitinyl hydrolase activity

c5037_g1_i1	Q9Y816	GO:0008150	23.35	195.05	10.58	29.25	biological_process

c6492_g1_i1	NA	GO:0008150	235.68	844.12	885.50	86.29	biological_process

c5052_g1_i1	O14069	GO:0030529	626.58	1912.00	2921.57	165.35	ribonucleoprotein complex

c6023_g1_i1	O13912	GO:0016021	605.35	83.01	26.69	455.30	integral component of membrane

c937_g1_i1	O74496	GO:0030126	6.11	5.04	3.25	68.72	COPI vesicle coat

c4648_g1_i1	O13857	GO:0046475	41.63	6.69	3.57	46.17	glycerophospholipid catabolic process

c1233_g1_i1	Q9UT59	GO:0055114	36.36	236.29	46.56	14.23	oxidation-reduction process

c2623_g2_i1	Q9P6M2	GO:0008150	76.90	20.05	3.26	131.39	biological_process

c1103_g1_i1	Q9P6I8	GO:0055114	65.39	12.21	10.04	249.56	oxidation-reduction process

c4336_g1_i1	O13784	GO:0030529	531.87	1535.45	1158.99	171.40	ribonucleoprotein complex

c4689_g1_i1	O42665	GO:0008150	2496.22	1208.94	39.97	1603.18	biological_process

c1811_g1_i1	Q9C0W5	GO:0031966	163.70	45.02	20.76	353.78	mitochondrial membrane

c1909_g1_i1	Q09713	GO:0006364	7.58	56.02	54.19	0.00	rRNA processing

c2110_g1_i1	O60136	GO:0051286	50.95	16.42	8.58	86.63	cell tip

c4688_g1_i1	Q9HDW7	GO:0071627	84.94	57.93	19.70	154.48	integral component of fungal-type vacuolar membrane

c2464_g1_i2	O94599	GO:0016021	52.15	24.39	11.59	120.97	integral component of membrane

c2314_g1_i1	Q9UUG1	GO:0042254	12.22	66.32	159.30	16.05	ribosome biogenesis

c4395_g1_i3	O74333	GO:0090002	97.55	17.40	0.00	6.31	establishment of protein localization to plasma membrane

c6165_g1_i1	Q09100	GO:0006364	2.38	14.51	76.35	6.48	rRNA processing

c6010_g1_i1	O60143	GO:0030529	1060.29	3147.71	2910.37	269.65	ribonucleoprotein complex

c4756_g2_i1	P0CT34	GO:0090305	13.96	212.06	52.48	41.97	nucleic acid phosphodiester bond hydrolysis

c5834_g1_i1	P40387	GO:0090441	925.70	1760.39	114.18	264.24	trehalose biosynthesis in response to heat stress

c5152_g1_i1	O14062	GO:0030529	487.70	2200.08	1634.91	153.48	ribonucleoprotein complex

c4438_g1_i2	NA	GO:0030529	4.15	8.64	5.25	78.37	ribonucleoprotein complex

c1541_g1_i1	NA	GO:0030529	82.55	6.20	1.10	407.14	ribonucleoprotein complex

c14_g1_i2	Q09889	GO:0032153	2.36	5.25	0.00	185.25	cell division site

c3710_g1_i1	Q09920	GO:0070627	8.79	6.45	331.50	3.12	ferrous iron import

c5084_g1_i1	Q9USP8	GO:0055114	462.23	170.65	82.65	1343.03	oxidation-reduction process

c2268_g1_i2	P87157	GO:0030131	12.43	11.87	3.23	77.00	clathrin adaptor complex

c5038_g1_i1	NA	GO:0030131	835.97	6594.79	178.12	1313.01	clathrin adaptor complex

c5928_g1_i1	NA	GO:0030131	8785.03	11720.86	291.58	17505.61	clathrin adaptor complex

c2086_g1_i2	Q9URT2	GO:0006406	8.17	0.00	17.47	15.98	mRNA export from nucleus

c2982_g1_i1	O13780	GO:0051286	83.04	14.87	47.95	156.84	cell tip

c3617_g1_i2	P14068	GO:0051168	27.94	76.55	54.81	0.00	nuclear export

c4967_g1_i1	Q09864	GO:0061077	444.06	2369.25	565.50	69.82	chaperone-mediated protein folding

c5401_g1_i1	P21911	GO:0055114	614.49	327.72	153.28	1178.15	oxidation-reduction process

c4998_g1_i1	O59838	GO:0050790	278.06	2036.46	695.91	104.17	regulation of catalytic activity

c4636_g1_i1	O14050	GO:0055085	0.00	24.85	0.00	11.58	transmembrane transport

c1486_g1_i1	Q09688	GO:0008150	102.80	42.68	18.55	1446.50	biological_process

c545_g1_i1	Q9P6K9	GO:0055114	16.99	51.97	158.52	15.09	oxidation-reduction process

c4756_g5_i1	P0CT42	GO:0090305	0.00	73.98	13.76	0.00	nucleic acid phosphodiester bond hydrolysis

c6000_g1_i1	O74914	GO:0034599	962.90	182.78	8.39	677.21	cellular response to oxidative stress

c169_g1_i1	Q9P782	GO:0051087	310.16	1986.52	301.97	118.05	chaperone binding

c1744_g1_i1	Q9P378	GO:0071966	41.19	140.60	802.08	95.31	fungal-type cell wall polysaccharide metabolic process

c4671_g1_i2	Q9C105	GO:1902409	7.51	21.76	71.21	10.32	mitotic cytokinetic cell separation

c4502_g1_i1	O13614	GO:0030529	721.75	1617.63	1853.49	229.36	ribonucleoprotein complex

c4633_g1_i1	Q10499	GO:0071452	336.87	47.83	8.52	169.56	cellular response to singlet oxygen

c1416_g1_i1	Q10327	GO:0008150	761.83	69.56	20.51	188.08	biological_process

c1729_g1_i1	Q9Y7P0	GO:0055114	167.67	65.19	35.31	833.93	oxidation-reduction process

c1140_g1_i1	Q9USN5	GO:0055114	105.64	22.08	9.56	267.43	oxidation-reduction process

c6155_g1_i1	O13912	GO:0016021	90.22	40.65	0.00	53.32	integral component of membrane

c4754_g1_i1	Q9P3U6	GO:0055085	159.05	1.60	1.14	11.61	transmembrane transport

c580_g1_i1	Q9P6I7	GO:0046872	17.22	15.75	191.70	29.03	metal ion binding

c4853_g1_i1	O13972	GO:0035999	243.96	490.61	856.72	79.03	tetrahydrofolate interconversion

c87_g1_i1	Q09892	GO:1990263	14.47	13.00	0.00	52.57	MAPK cascade in response to starvation

c305_g1_i1	Q9P778	GO:0016787	73.80	656.12	40.92	48.25	hydrolase activity

c4809_g1_i1	O94698	GO:0043234	3.86	57.58	117.69	7.89	protein complex

c2673_g2_i1	NA	GO:0043234	30.87	8.36	0.00	33.98	protein complex

c6038_g1_i1	NA	GO:0043234	7.37	38.05	0.00	37.67	protein complex

c4639_g2_i2	P79013	GO:0042254	393.32	1068.55	1223.96	113.66	ribosome biogenesis

c482_g1_i1	O94602	GO:0008150	128.36	112.60	23.66	325.29	biological_process

c4601_g1_i2	O13945	GO:0044732	13.67	0.00	13.86	29.72	mitotic spindle pole body

c5281_g1_i1	O60198	GO:0046872	47.54	331.33	756.09	26.34	metal ion binding

c5166_g1_i1	Q9HGL6	GO:0042254	17.35	168.35	197.83	46.65	ribosome biogenesis

c1155_g1_i1	P78797	GO:0008150	19.60	243.83	14.88	54.98	biological_process

c4561_g2_i1	O59675	GO:0042254	780.67	2435.09	2228.73	145.31	ribosome biogenesis

c3784_g1_i1	Q09745	GO:0055114	314.75	1377.55	107.76	221.22	oxidation-reduction process

c2216_g1_i1	O13889	GO:0032063	42.25	25.90	9.65	116.26	negative regulation of translational initiation in response to osmotic stress

c5069_g1_i1	O74791	GO:0042254	13.80	102.64	206.92	46.99	ribosome biogenesis

c1033_g1_i1	Q9UUH8	GO:0016021	39.18	0.00	12.09	111.88	integral component of membrane

c2585_g1_i1	Q9UT63	GO:0016787	276.18	69.36	4.12	90.22	hydrolase activity

c4746_g1_i3	Q09740	GO:0045229	0.00	4.91	10.00	26.34	external encapsulating structure organization

c6235_g1_i1	O13725	GO:0052856	215.06	56.05	6.59	629.04	NADHX epimerase activity

c4971_g1_i1	O94440	GO:0016021	1619.81	631.10	17.44	1222.13	integral component of membrane

c1088_g1_i1	Q10111	GO:0008150	33.30	8.49	3.22	0.00	biological_process

c5897_g1_i1	Q9USI5	GO:0043234	367.94	2611.91	362.31	101.21	protein complex

c5846_g1_i1	O42909	GO:0055114	867.49	1077.02	58.95	1174.82	oxidation-reduction process

c4619_g2_i1	Q9UUC1	GO:0030529	353.64	1331.03	1402.56	109.40	ribonucleoprotein complex

c2248_g1_i2	NA	GO:0030529	12.35	0.00	1.59	111.70	ribonucleoprotein complex

c3115_g1_i1	O74395	GO:0055072	54.05	13.88	322.91	68.43	iron ion homeostasis

c3473_g1_i1	O13802	GO:0044732	18.22	95.23	190.04	30.24	mitotic spindle pole body

c5817_g1_i1	Q8TPV2	GO:0051539	4172.13	2138.13	10.83	899.42	iron-sulfur cluster binding

c5525_g1_i1	NA	GO:0051539	8.36	0.00	2.26	95.08	iron-sulfur cluster binding

c4979_g1_i1	Q10101	GO:0042254	1763.87	4578.67	5506.98	720.04	ribosome biogenesis

c4364_g1_i2	O43120	GO:0045292	28.34	38.66	0.05	13.52	mRNA cis splicing, via spliceosome

c5856_g1_i1	Q9UTI1	GO:0070628	0.00	0.00	7.98	95.18	proteasome binding

c133_g1_i1	Q9P7B4	GO:0055114	185.91	670.81	65.52	199.51	oxidation-reduction process

c5340_g1_i1	O14317	GO:0030529	255.90	1057.34	1158.57	7.20	ribonucleoprotein complex

c3718_g2_i1	O59721	GO:0031119	19.79	0.00	10.89	30.95	tRNA pseudouridine synthesis

c3013_g1_i1	O13772	GO:0008150	36.91	116.24	8.79	42.84	biological_process

c2826_g1_i1	NA	GO:0008150	0.00	111.77	0.00	0.00	biological_process

c3408_g2_i1	P78972	GO:0072686	4.67	22.20	81.46	8.96	mitotic spindle

c6135_g1_i1	O59858	GO:0071470	1529.49	3235.30	143.54	1980.15	cellular response to osmotic stress

c6194_g1_i1	P87147	GO:0043130	383.44	994.83	973.19	107.32	ubiquitin binding

c4703_g2_i1	O94487	GO:0051321	15.78	158.80	7.67	64.00	meiotic cell cycle

c1859_g1_i2	Q96WU9	GO:0008150	61.35	0.00	2.95	79.54	biological_process

c5297_g1_i1	Q10352	GO:0055114	38.49	361.16	47.19	37.88	oxidation-reduction process

c4712_g3_i1	O14367	GO:0035432	60.79	8.81	7.40	251.67	positive regulation of gluconate transmembrane transport

c66_g1_i1	O94435	GO:0051321	325.45	603.49	42.01	686.98	meiotic cell cycle

c4378_g1_i3	O94721	GO:0008150	8.50	26.50	85.62	0.00	biological_process

c3069_g1_i1	NA	GO:0008150	12.00	295.63	8.03	12.27	biological_process

c2123_g1_i1	O74215	GO:0050354	88.92	6.47	6.66	939.95	triokinase activity

c2464_g1_i1	O94599	GO:0016021	2.80	0.00	0.00	21.42	integral component of membrane

c2287_g1_i1	P78812	GO:0055114	5073.93	4018.74	691.17	323.68	oxidation-reduction process

c3447_g1_i1	Q9URZ1	GO:0032259	20.49	2.31	5.75	66.16	methylation

c4189_g1_i3	P78798	GO:0043234	76.88	16.73	7.31	485.63	protein complex

c4686_g1_i2	O74899	GO:1903092	7.27	4.11	0.00	207.70	pyridoxine transmembrane transport

c2869_g1_i1	O94402	GO:0071577	24.25	11.63	6.72	88.20	zinc ion transmembrane transport

c6428_g1_i1	NA	GO:0071577	0.00	127.54	0.00	0.00	zinc ion transmembrane transport

c4786_g1_i1	P24488	GO:0000978	1183.44	717.13	31.73	2260.66	RNA polymerase II core promoter proximal region sequence-specific DNA binding

c2128_g1_i1	Q96WW3	GO:0008150	12.98	120.05	189.72	62.53	biological_process

c2096_g1_i2	O36021	GO:0042254	0.00	0.00	33.16	0.00	ribosome biogenesis

c1910_g1_i1	NA	GO:0042254	2.25	0.00	0.00	75.45	ribosome biogenesis

c5946_g1_i1	NA	GO:0042254	166.45	1481.30	142.46	146.15	ribosome biogenesis

c4849_g1_i1	Q9P7K6	GO:0042256	2360.17	8144.43	67.99	434.08	mature ribosome assembly

c1661_g1_i1	Q10066	GO:0046872	185.69	721.94	1503.96	184.21	metal ion binding

c3245_g1_i1	NA	GO:0046872	45.20	1.25	28.45	2.72	metal ion binding

c3079_g1_i1	O74888	GO:0031966	155.60	693.05	30.09	143.68	mitochondrial membrane

c4742_g1_i1	Q9P7B2	GO:0042254	568.98	3038.47	2262.96	154.41	ribosome biogenesis

c236_g1_i1	O94268	GO:0042254	14.34	79.99	188.08	19.54	ribosome biogenesis

c2933_g1_i1	O74875	GO:0055114	1.64	122.56	23.07	18.47	oxidation-reduction process

c6011_g1_i1	Q8NKC2	GO:0061621	299.34	6.55	4.92	245.54	canonical glycolysis

c2691_g1_i1	O74470	GO:0055114	306.89	60.57	2.39	21.96	oxidation-reduction process

c4471_g2_i2	NA	GO:0055114	1616.22	1895.55	211.99	1117.95	oxidation-reduction process

c2958_g1_i1	O14369	GO:0006413	20.98	33.34	114.79	10.85	translational initiation

c5134_g1_i1	O94564	GO:0055114	247.03	31.97	12.82	495.41	oxidation-reduction process

c4925_g1_i1	O13901	GO:0016780	897.04	162.24	71.65	876.48	phosphotransferase activity, for other substituted phosphate groups

c3778_g3_i1	O94342	GO:0055085	14.29	7.78	5.08	87.12	transmembrane transport

c6111_g1_i1	O13848	GO:0055114	969.14	687.76	50.14	960.57	oxidation-reduction process

c3805_g1_i1	O42889	GO:0008152	70.13	4.75	3.38	108.18	metabolic process

c1292_g1_i1	NA	GO:0008152	41.34	0.00	0.00	98.93	metabolic process

c2705_g1_i1	Q9HDU6	GO:0055114	15.07	22.45	92.45	7.24	oxidation-reduction process

c4240_g1_i1	Q7Z9I0	GO:1902047	22.97	15.46	213.35	122.11	polyamine transmembrane transport

c5323_g1_i1	O13905	GO:0008150	39.54	162.69	46.53	16.32	biological_process

c3617_g1_i1	P14068	GO:0051168	21.09	0.00	0.03	19.77	nuclear export

c4340_g3_i1	O14123	GO:1902600	0.00	83.34	11.09	10.27	hydrogen ion transmembrane transport

c5379_g1_i1	O13901	GO:0016780	0.00	0.00	37.56	0.00	phosphotransferase activity, for other substituted phosphate groups

c5872_g1_i1	O74959	GO:0055114	349.82	75.67	47.10	452.04	oxidation-reduction process

c6384_g1_i1	NA	GO:0055114	7.53	1000.48	3.36	18.80	oxidation-reduction process

c1512_g1_i1	O14363	GO:0030529	74.54	283.67	393.45	31.33	ribonucleoprotein complex

c4750_g3_i1	Q92339	GO:0055056	221.05	87.07	2.56	93.49	D-glucose transmembrane transporter activity

c3484_g1_i1	Q10195	GO:0008150	1530.48	2751.82	81.26	938.56	biological_process

c5136_g1_i1	NA	GO:0008150	23.15	304.05	105.77	352.16	biological_process

c4957_g1_i1	NA	GO:0008150	2136.53	4218.78	23.29	2462.47	biological_process

c2266_g1_i2	Q9UTE5	GO:0071849	4.54	26.02	0.00	3.19	actin filament debranching

c2926_g1_i1	O94358	GO:0008150	173.62	115.58	13.94	177.74	biological_process

c3801_g2_i1	O94462	GO:0016020	120.38	39.17	19.19	183.10	membrane

c4723_g2_i1	O13854	GO:0009986	34.24	192.20	196.26	15.83	cell surface

c4747_g1_i2	P08093	GO:0030529	925.31	2348.90	2768.00	379.99	ribonucleoprotein complex

c5904_g1_i1	O36029	GO:0008150	144.24	3.27	0.00	767.83	biological_process

c5002_g1_i1	O13990	GO:0070879	112.10	247.43	52.84	726.10	fungal-type cell wall beta-glucan metabolic process

c5027_g1_i1	Q9Y7K0	GO:0008150	330.44	111.89	32.40	407.89	biological_process

c1408_g1_i1	Q09903	GO:0042254	4.65	32.73	76.03	17.58	ribosome biogenesis

c3441_g1_i1	O13966	GO:0051539	1278.80	556.42	250.28	2885.78	iron-sulfur cluster binding

c2881_g1_i1	Q9URU6	GO:0004338	9.46	53.99	245.08	5.37	geranyltranstransferase activity

c6243_g1_i1	NA	GO:0004338	410.60	2323.42	2133.01	222.67	geranyltranstransferase activity

c1788_g1_i1	O74191	GO:0018208	15.74	156.08	547.92	21.44	peptidyl-proline modification

c4501_g1_i2	O60144	GO:0042254	752.29	2782.88	2041.03	340.25	ribosome biogenesis

c3801_g1_i1	NA	GO:0042254	87.74	28.30	3.67	97.12	ribosome biogenesis

c4689_g2_i1	O42663	GO:0008150	418.75	2421.90	52.84	353.08	biological_process

c1439_g1_i1	Q9P5M9	GO:0051321	364.70	42.88	5.24	545.21	meiotic cell cycle

c4775_g1_i1	Q9C0Y4	GO:0090599	2600.48	21.41	15.26	3106.78	NA
c4398_g2_i1	O74325	GO:0051603	58.23	11.75	8.83	135.39	proteolysis involved in cellular protein catabolic process

c2106_g1_i1	Q9UUJ9	GO:0016787	281.74	32.15	27.64	805.86	hydrolase activity

c1496_g1_i1	O14258	GO:0005737	3.67	5.96	67.56	6.86	cytoplasm

c349_g1_i2	Q9UUN5	GO:0030134	14.96	69.87	116.18	8.52	ER to Golgi transport vesicle

c6062_g1_i1	O13696	GO:0055114	327.31	113.89	63.00	773.82	oxidation-reduction process

c4386_g1_i3	P36584	GO:0030529	426.63	707.07	1233.66	136.36	ribonucleoprotein complex

c3216_g2_i1	Q10157	GO:0042254	657.33	1974.52	2225.61	183.79	ribosome biogenesis

c4660_g1_i1	O94435	GO:0051321	0.00	102.50	10.25	0.00	meiotic cell cycle

