	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c3489_g1_i1	O74391	GO:0000027	111.67	466.24	367.75	38.03	ribosomal large subunit assembly
c6269_g1_i1	Q9P783	GO:0003674	9.28	50.49	143.92	8.85	molecular_function
c6600_g1_i1	O14044	GO:0003723	11.29	67.91	149.32	24.13	RNA binding
c1207_g1_i1	Q09912	GO:0002183	507.70	3337.65	124.36	272.22	cytoplasmic translational initiation
c5799_g1_i1	Q9Y7R8	GO:0003824	1349.40	838.75	131.87	4300.45	catalytic activity
c93_g1_i1	O94425	GO:0003674	367.79	408.65	3.11	118.68	molecular_function
c3104_g1_i2	O94547	GO:0000166	386.60	218.24	16.24	239.29	nucleotide binding
c5218_g1_i1	O14359	GO:0005634	531.51	1074.84	84.40	182.85	nucleus
c3968_g1_i1	O74378	GO:0004591	304.61	117.15	63.24	589.38	oxoglutarate dehydrogenase (succinyl-transferring) activity
c989_g1_i1	O14131	GO:0003824	233.66	137.53	12.59	344.19	catalytic activity
c2673_g1_i1	P87136	GO:0003674	61.98	41.10	5.90	83.73	molecular_function
c5110_g1_i1	NA	GO:0003674	423.15	260.02	109.10	951.56	molecular_function
c3123_g1_i1	B5BP47	GO:0000329	14.42	4.68	55.06	3.40	fungal-type vacuole membrane
c1180_g1_i1	O13908	GO:0005634	55.11	26.70	1.81	42.47	nucleus
c1170_g1_i1	O59715	GO:0005783	157.25	22.91	73.92	773.19	endoplasmic reticulum
c463_g1_i1	O59812	GO:0004345	267.81	3.72	5.84	14.06	glucose-6-phosphate dehydrogenase activity
c894_g1_i1	O74492	GO:0005634	140.22	33.55	32.35	398.32	nucleus
c4176_g1_i1	O42654	GO:0003674	13.26	72.12	1.21	78.23	molecular_function
c3592_g2_i1	O14020	GO:0003674	132.94	69.22	8.00	141.27	molecular_function
c2449_g1_i1	O94639	GO:0000006	53.16	12.58	139.66	56.72	high affinity zinc uptake transmembrane transporter activity
c1382_g1_i1	NA	GO:0000006	0.00	1.30	1.85	48.91	high affinity zinc uptake transmembrane transporter activity
c6118_g1_i1	O94733	GO:0003674	703.76	364.70	20.14	553.02	molecular_function
c6221_g1_i1	NA	GO:0003674	5.85	0.00	1.96	215.17	molecular_function
c1327_g1_i2	O13947	GO:0000049	6.99	9.93	20.74	0.00	tRNA binding
c4650_g1_i1	O14150	GO:0002181	297.72	479.66	1206.82	57.91	cytoplasmic translation
c1913_g1_i1	Q9HDU5	GO:0003824	313.39	20.42	13.10	226.83	catalytic activity
c92_g1_i2	O74380	GO:0003674	36.33	27.48	0.00	28.05	molecular_function
c6080_g1_i1	Q9URX6	GO:0002181	980.77	3626.94	2582.58	407.78	cytoplasmic translation
c2435_g1_i1	O13716	GO:0005576	22.08	60.73	85.56	5.64	extracellular region
c2925_g1_i2	P40899	GO:0003674	24.14	61.16	22.28	2.96	molecular_function
c5211_g1_i1	Q09802	GO:0003674	737.01	32.39	23.01	5883.71	molecular_function
c2896_g1_i1	P22189	GO:0000166	3.58	82.61	7.18	5.85	nucleotide binding
c1234_g1_i1	Q04800	GO:0000293	6.09	2.34	115.56	3.96	ferric-chelate reductase activity
c6198_g1_i1	O14124	GO:0004177	267.26	139.17	44.23	1043.91	aminopeptidase activity
c353_g1_i1	Q9Y7X7	GO:0000042	930.28	839.49	21.27	474.16	protein targeting to Golgi
c1453_g1_i1	P04551	GO:0000086	17.94	40.88	0.00	57.87	G2/M transition of mitotic cell cycle
c2811_g1_i2	Q09916	GO:0000166	9.93	78.40	152.12	11.27	nucleotide binding
c1520_g1_i1	Q9P7E7	GO:0003674	22.55	162.08	246.38	32.09	molecular_function
c5786_g1_i1	O42893	GO:0003824	604.12	637.67	40.04	308.31	catalytic activity
c4802_g1_i1	Q92345	GO:0000287	185.97	1057.35	3644.47	574.41	magnesium ion binding
c4189_g1_i2	B8I799	GO:0008752	29.61	13.91	4.67	406.54	FMN reductase activity
c4955_g1_i1	O60128	GO:0002181	1222.34	2630.18	3051.28	371.90	cytoplasmic translation
c4716_g2_i1	O59855	GO:0000166	2187.25	12645.55	3456.67	73.59	nucleotide binding
c92_g1_i1	O74380	GO:0003674	0.00	0.00	43.83	19.74	molecular_function
c4754_g3_i1	Q9P3U6	GO:0005358	94.19	0.00	5.35	0.00	high-affinity hydrogen:glucose symporter activity
c2948_g2_i1	P17476	GO:0002182	271.27	1255.70	869.40	32.48	cytoplasmic translational elongation
c5940_g1_i1	Q10306	GO:0004108	1406.86	531.82	175.71	2257.48	citrate (Si)-synthase activity
c4945_g1_i1	O60071	GO:0000447	11.44	46.53	126.26	34.43	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
c4637_g1_i1	Q9USG8	GO:0005543	256.63	80.09	13.31	74.69	phospholipid binding
c4716_g2_i2	Q10265	GO:0000166	952.65	4871.26	592.76	47.82	nucleotide binding
c6256_g1_i1	Q9Y7N6	GO:0004620	29.26	12.01	9.80	178.97	phospholipase activity
c768_g2_i1	Q9Y7Q3	GO:0003674	23.78	2.91	0.00	41.20	molecular_function
c1189_g1_i1	Q11118	GO:0005515	733.48	3351.38	810.50	155.54	protein binding
c5109_g1_i1	O13991	GO:0005634	1049.77	561.52	83.32	316.13	nucleus
c6321_g1_i1	P87058	GO:0000166	39.87	250.54	300.38	32.21	nucleotide binding
c1032_g1_i1	O42842	GO:0003999	38.19	213.23	380.54	13.01	adenine phosphoribosyltransferase activity
c4381_g1_i2	O59759	GO:0004721	21.35	15.59	0.00	46.00	phosphoprotein phosphatase activity
c956_g1_i1	Q10216	GO:0003857	1151.38	23.46	6.27	1644.86	3-hydroxyacyl-CoA dehydrogenase activity
c5960_g1_i1	Q9HDU3	GO:0003824	166.83	31.53	8.48	59.18	catalytic activity
c4750_g2_i1	O59932	GO:0005215	525.96	26.39	9.95	29.38	transporter activity
c933_g1_i2	NA	GO:0005215	2.69	211.34	1.24	1.67	transporter activity
c4833_g1_i1	O13724	GO:0002181	32.81	1338.20	190.26	28.04	cytoplasmic translation
c4987_g1_i1	Q9P6J6	GO:0004553	17.85	121.65	20.36	8.94	hydrolase activity, hydrolyzing O-glycosyl compounds
c4446_g2_i1	NA	GO:0004553	21.40	111.83	2.53	18.59	hydrolase activity, hydrolyzing O-glycosyl compounds
c3940_g2_i1	Q9UT24	GO:0000166	5.79	8.09	11.58	0.00	nucleotide binding
c2232_g1_i1	Q09179	GO:0000166	27.36	16.74	344.22	23.70	nucleotide binding
c4196_g2_i2	Q10367	GO:0005096	15.45	7.18	0.00	26.91	GTPase activator activity
c4754_g4_i1	Q9P3U7	GO:0005215	176.19	30.36	314.33	391.02	transporter activity
c1678_g1_i1	O74399	GO:0000463	16.47	70.81	139.33	15.47	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
c1424_g1_i1	P09202	GO:0003824	635.06	13.37	15.43	2282.34	catalytic activity
c392_g1_i1	Q9P7Q6	GO:0003674	28.59	41.58	3.82	57.46	molecular_function
c4747_g1_i1	P08093	GO:0002181	189.65	526.52	718.20	50.39	cytoplasmic translation
c330_g1_i1	Q09715	GO:0000122	0.00	9.92	29.03	5.63	negative regulation of transcription from RNA polymerase II promoter
c4533_g4_i1	Q9USV2	GO:0004032	0.00	37.33	15.08	11.41	alditol:NADP+ 1-oxidoreductase activity
c4727_g1_i1	Q9C0U6	GO:0000166	64.78	36.31	15.15	161.99	nucleotide binding
c4526_g1_i1	O59814	GO:0003333	263.31	16.02	1.86	175.77	amino acid transmembrane transport
c177_g1_i1	Q9UTP0	GO:0002181	82.55	453.10	364.31	4.22	cytoplasmic translation
c2813_g1_i1	Q9UTH5	GO:0004620	62.64	17.55	245.36	211.44	phospholipase activity
c4731_g1_i1	P0C8R3	GO:0003735	418.08	1156.20	849.89	97.37	structural constituent of ribosome
c4722_g1_i1	O59768	GO:0000324	0.00	0.00	0.00	50.74	fungal-type vacuole
c5026_g1_i1	O94629	GO:0003674	52.20	1267.17	86.53	216.30	molecular_function
c2758_g2_i1	O13869	GO:0000166	18.80	170.48	43.98	8.80	nucleotide binding
c3726_g1_i1	P78970	GO:0005783	3.88	0.00	0.00	19.83	endoplasmic reticulum
c5272_g1_i1	Q9URV9	GO:0000166	12.69	365.12	26.87	2.88	nucleotide binding
c2721_g4_i2	P87229	GO:0003674	47.64	32.55	2.29	50.88	molecular_function
c385_g1_i1	Q9P7L8	GO:0000245	10.97	7.81	1.54	38.68	spliceosomal complex assembly
c2439_g1_i1	NA	GO:0000245	17.00	21.41	349.11	19.20	spliceosomal complex assembly
c5510_g1_i1	O60079	GO:0004221	4.21	52.26	0.00	0.00	ubiquitin thiolesterase activity
c5037_g1_i1	Q9Y816	GO:0003674	23.35	195.05	10.58	29.25	molecular_function
c6492_g1_i1	NA	GO:0003674	235.68	844.12	885.50	86.29	molecular_function
c5052_g1_i1	O14069	GO:0002181	626.58	1912.00	2921.57	165.35	cytoplasmic translation
c6023_g1_i1	O13912	GO:0003674	605.35	83.01	26.69	455.30	molecular_function
c937_g1_i1	O74496	GO:0003674	6.11	5.04	3.25	68.72	molecular_function
c4648_g1_i1	O13857	GO:0004620	41.63	6.69	3.57	46.17	phospholipase activity
c1233_g1_i1	Q9UT59	GO:0003824	36.36	236.29	46.56	14.23	catalytic activity
c2623_g2_i1	Q9P6M2	GO:0003674	76.90	20.05	3.26	131.39	molecular_function
c1103_g1_i1	Q9P6I8	GO:0005794	65.39	12.21	10.04	249.56	Golgi apparatus
c4336_g1_i1	O13784	GO:0000166	531.87	1535.45	1158.99	171.40	nucleotide binding
c4689_g1_i1	O42665	GO:0003674	2496.22	1208.94	39.97	1603.18	molecular_function
c1811_g1_i1	Q9C0W5	GO:0003674	163.70	45.02	20.76	353.78	molecular_function
c1909_g1_i1	Q09713	GO:0003723	7.58	56.02	54.19	0.00	RNA binding
c2110_g1_i1	O60136	GO:0003674	50.95	16.42	8.58	86.63	molecular_function
c4688_g1_i1	Q9HDW7	GO:0000166	84.94	57.93	19.70	154.48	nucleotide binding
c2464_g1_i2	O94599	GO:0000139	52.15	24.39	11.59	120.97	Golgi membrane
c2314_g1_i1	Q9UUG1	GO:0003723	12.22	66.32	159.30	16.05	RNA binding
c4395_g1_i3	O74333	GO:0000139	97.55	17.40	0.00	6.31	Golgi membrane
c6165_g1_i1	Q09100	GO:0000166	2.38	14.51	76.35	6.48	nucleotide binding
c6010_g1_i1	O60143	GO:0002181	1060.29	3147.71	2910.37	269.65	cytoplasmic translation
c4756_g2_i1	P0CT34	GO:0003676	13.96	212.06	52.48	41.97	nucleic acid binding
c5834_g1_i1	P40387	GO:0003824	925.70	1760.39	114.18	264.24	catalytic activity
c5152_g1_i1	O14062	GO:0002181	487.70	2200.08	1634.91	153.48	cytoplasmic translation
c4438_g1_i2	NA	GO:0002181	4.15	8.64	5.25	78.37	cytoplasmic translation
c1541_g1_i1	NA	GO:0002181	82.55	6.20	1.10	407.14	cytoplasmic translation
c14_g1_i2	Q09889	GO:0005509	2.36	5.25	0.00	185.25	calcium ion binding
c3710_g1_i1	Q09920	GO:0004322	8.79	6.45	331.50	3.12	ferroxidase activity
c5084_g1_i1	Q9USP8	GO:0000287	462.23	170.65	82.65	1343.03	magnesium ion binding
c2268_g1_i2	P87157	GO:0003674	12.43	11.87	3.23	77.00	molecular_function
c5038_g1_i1	NA	GO:0003674	835.97	6594.79	178.12	1313.01	molecular_function
c5928_g1_i1	NA	GO:0003674	8785.03	11720.86	291.58	17505.61	molecular_function
c2086_g1_i2	Q9URT2	GO:0000347	8.17	0.00	17.47	15.98	THO complex
c2982_g1_i1	O13780	GO:0004012	83.04	14.87	47.95	156.84	phospholipid-translocating ATPase activity
c3617_g1_i2	P14068	GO:0000122	27.94	76.55	54.81	0.00	negative regulation of transcription from RNA polymerase II promoter
c4967_g1_i1	Q09864	GO:0000166	444.06	2369.25	565.50	69.82	nucleotide binding
c5401_g1_i1	P21911	GO:0005737	614.49	327.72	153.28	1178.15	cytoplasm
c4998_g1_i1	O59838	GO:0000166	278.06	2036.46	695.91	104.17	nucleotide binding
c4636_g1_i1	O14050	GO:0005509	0.00	24.85	0.00	11.58	calcium ion binding
c1486_g1_i1	Q09688	GO:0003674	102.80	42.68	18.55	1446.50	molecular_function
c545_g1_i1	Q9P6K9	GO:0004497	16.99	51.97	158.52	15.09	monooxygenase activity
c4756_g5_i1	P0CT42	GO:0003676	0.00	73.98	13.76	0.00	nucleic acid binding
c6000_g1_i1	O74914	GO:0005634	962.90	182.78	8.39	677.21	nucleus
c169_g1_i1	Q9P782	GO:0001671	310.16	1986.52	301.97	118.05	ATPase activator activity
c1744_g1_i1	Q9P378	GO:0000902	41.19	140.60	802.08	95.31	cell morphogenesis
c4671_g1_i2	Q9C105	GO:0000324	7.51	21.76	71.21	10.32	fungal-type vacuole
c4502_g1_i1	O13614	GO:0000054	721.75	1617.63	1853.49	229.36	ribosomal subunit export from nucleus
c4633_g1_i1	Q10499	GO:0005634	336.87	47.83	8.52	169.56	nucleus
c1416_g1_i1	Q10327	GO:0003674	761.83	69.56	20.51	188.08	molecular_function
c1729_g1_i1	Q9Y7P0	GO:0004746	167.67	65.19	35.31	833.93	riboflavin synthase activity
c1140_g1_i1	Q9USN5	GO:0004352	105.64	22.08	9.56	267.43	glutamate dehydrogenase (NAD+) activity
c6155_g1_i1	O13912	GO:0003674	90.22	40.65	0.00	53.32	molecular_function
c4754_g1_i1	Q9P3U6	GO:0005358	159.05	1.60	1.14	11.61	high-affinity hydrogen:glucose symporter activity
c580_g1_i1	Q9P6I7	GO:0000034	17.22	15.75	191.70	29.03	adenine deaminase activity
c4853_g1_i1	O13972	GO:0003824	243.96	490.61	856.72	79.03	catalytic activity
c87_g1_i1	Q09892	GO:0000161	14.47	13.00	0.00	52.57	MAPK cascade involved in osmosensory signaling pathway
c305_g1_i1	Q9P778	GO:0005576	73.80	656.12	40.92	48.25	extracellular region
c4809_g1_i1	O94698	GO:0003674	3.86	57.58	117.69	7.89	molecular_function
c2673_g2_i1	NA	GO:0003674	30.87	8.36	0.00	33.98	molecular_function
c6038_g1_i1	NA	GO:0003674	7.37	38.05	0.00	37.67	molecular_function
c4639_g2_i2	P79013	GO:0002181	393.32	1068.55	1223.96	113.66	cytoplasmic translation
c482_g1_i1	O94602	GO:0003674	128.36	112.60	23.66	325.29	molecular_function
c4601_g1_i2	O13945	GO:0000166	13.67	0.00	13.86	29.72	nucleotide binding
c5281_g1_i1	O60198	GO:0000166	47.54	331.33	756.09	26.34	nucleotide binding
c5166_g1_i1	Q9HGL6	GO:0003723	17.35	168.35	197.83	46.65	RNA binding
c1155_g1_i1	P78797	GO:0000324	19.60	243.83	14.88	54.98	fungal-type vacuole
c4561_g2_i1	O59675	GO:0002181	780.67	2435.09	2228.73	145.31	cytoplasmic translation
c3784_g1_i1	Q09745	GO:0005634	314.75	1377.55	107.76	221.22	nucleus
c2216_g1_i1	O13889	GO:0000166	42.25	25.90	9.65	116.26	nucleotide binding
c5069_g1_i1	O74791	GO:0000054	13.80	102.64	206.92	46.99	ribosomal subunit export from nucleus
c1033_g1_i1	Q9UUH8	GO:0000324	39.18	0.00	12.09	111.88	fungal-type vacuole
c2585_g1_i1	Q9UT63	GO:0005634	276.18	69.36	4.12	90.22	nucleus
c4746_g1_i3	Q09740	GO:0004360	0.00	4.91	10.00	26.34	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
c6235_g1_i1	O13725	GO:0000166	215.06	56.05	6.59	629.04	nucleotide binding
c4971_g1_i1	O94440	GO:0003674	1619.81	631.10	17.44	1222.13	molecular_function
c1088_g1_i1	Q10111	GO:0003674	33.30	8.49	3.22	0.00	molecular_function
c5897_g1_i1	Q9USI5	GO:0005634	367.94	2611.91	362.31	101.21	nucleus
c5846_g1_i1	O42909	GO:0004024	867.49	1077.02	58.95	1174.82	alcohol dehydrogenase activity, zinc-dependent
c4619_g2_i1	Q9UUC1	GO:0002181	353.64	1331.03	1402.56	109.40	cytoplasmic translation
c2248_g1_i2	NA	GO:0002181	12.35	0.00	1.59	111.70	cytoplasmic translation
c3115_g1_i1	O74395	GO:0005783	54.05	13.88	322.91	68.43	endoplasmic reticulum
c3473_g1_i1	O13802	GO:0005515	18.22	95.23	190.04	30.24	protein binding
c5817_g1_i1	Q8TPV2	GO:0003824	4172.13	2138.13	10.83	899.42	catalytic activity
c5525_g1_i1	NA	GO:0003824	8.36	0.00	2.26	95.08	catalytic activity
c4979_g1_i1	Q10101	GO:0002181	1763.87	4578.67	5506.98	720.04	cytoplasmic translation
c4364_g1_i2	O43120	GO:0000166	28.34	38.66	0.05	13.52	nucleotide binding
c5856_g1_i1	Q9UTI1	GO:0004866	0.00	0.00	7.98	95.18	endopeptidase inhibitor activity
c133_g1_i1	Q9P7B4	GO:0005737	185.91	670.81	65.52	199.51	cytoplasm
c5340_g1_i1	O14317	GO:0002182	255.90	1057.34	1158.57	7.20	cytoplasmic translational elongation
c3718_g2_i1	O59721	GO:0001522	19.79	0.00	10.89	30.95	pseudouridine synthesis
c3013_g1_i1	O13772	GO:0003674	36.91	116.24	8.79	42.84	molecular_function
c2826_g1_i1	NA	GO:0003674	0.00	111.77	0.00	0.00	molecular_function
c3408_g2_i1	P78972	GO:0000070	4.67	22.20	81.46	8.96	mitotic sister chromatid segregation
c6135_g1_i1	O59858	GO:0004601	1529.49	3235.30	143.54	1980.15	peroxidase activity
c6194_g1_i1	P87147	GO:0005634	383.44	994.83	973.19	107.32	nucleus
c4703_g2_i1	O94487	GO:0000166	15.78	158.80	7.67	64.00	nucleotide binding
c1859_g1_i2	Q96WU9	GO:0003674	61.35	0.00	2.95	79.54	molecular_function
c5297_g1_i1	Q10352	GO:0003958	38.49	361.16	47.19	37.88	NADPH-hemoprotein reductase activity
c4712_g3_i1	O14367	GO:0003674	60.79	8.81	7.40	251.67	molecular_function
c66_g1_i1	O94435	GO:0003674	325.45	603.49	42.01	686.98	molecular_function
c4378_g1_i3	O94721	GO:0003674	8.50	26.50	85.62	0.00	molecular_function
c3069_g1_i1	NA	GO:0003674	12.00	295.63	8.03	12.27	molecular_function
c2123_g1_i1	O74215	GO:0000166	88.92	6.47	6.66	939.95	nucleotide binding
c2464_g1_i1	O94599	GO:0000139	2.80	0.00	0.00	21.42	Golgi membrane
c2287_g1_i1	P78812	GO:0004616	5073.93	4018.74	691.17	323.68	phosphogluconate dehydrogenase (decarboxylating) activity
c3447_g1_i1	Q9URZ1	GO:0004719	20.49	2.31	5.75	66.16	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
c4189_g1_i3	P78798	GO:0000268	76.88	16.73	7.31	485.63	peroxisome targeting sequence binding
c4686_g1_i2	O74899	GO:0005215	7.27	4.11	0.00	207.70	transporter activity
c2869_g1_i1	O94402	GO:0000329	24.25	11.63	6.72	88.20	fungal-type vacuole membrane
c6428_g1_i1	NA	GO:0000329	0.00	127.54	0.00	0.00	fungal-type vacuole membrane
c4786_g1_i1	P24488	GO:0000978	1183.44	717.13	31.73	2260.66	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c2128_g1_i1	Q96WW3	GO:0003674	12.98	120.05	189.72	62.53	molecular_function
c2096_g1_i2	O36021	GO:0003674	0.00	0.00	33.16	0.00	molecular_function
c1910_g1_i1	NA	GO:0003674	2.25	0.00	0.00	75.45	molecular_function
c5946_g1_i1	NA	GO:0003674	166.45	1481.30	142.46	146.15	molecular_function
c4849_g1_i1	Q9P7K6	GO:0003674	2360.17	8144.43	67.99	434.08	molecular_function
c1661_g1_i1	Q10066	GO:0000050	185.69	721.94	1503.96	184.21	urea cycle
c3245_g1_i1	NA	GO:0000050	45.20	1.25	28.45	2.72	urea cycle
c3079_g1_i1	O74888	GO:0000139	155.60	693.05	30.09	143.68	Golgi membrane
c4742_g1_i1	Q9P7B2	GO:0002182	568.98	3038.47	2262.96	154.41	cytoplasmic translational elongation
c236_g1_i1	O94268	GO:0003723	14.34	79.99	188.08	19.54	RNA binding
c2933_g1_i1	O74875	GO:0003958	1.64	122.56	23.07	18.47	NADPH-hemoprotein reductase activity
c6011_g1_i1	Q8NKC2	GO:0000015	299.34	6.55	4.92	245.54	phosphopyruvate hydratase complex
c2691_g1_i1	O74470	GO:0005634	306.89	60.57	2.39	21.96	nucleus
c4471_g2_i2	NA	GO:0005634	1616.22	1895.55	211.99	1117.95	nucleus
c2958_g1_i1	O14369	GO:0000166	20.98	33.34	114.79	10.85	nucleotide binding
c5134_g1_i1	O94564	GO:0004022	247.03	31.97	12.82	495.41	alcohol dehydrogenase (NAD) activity
c4925_g1_i1	O13901	GO:0004142	897.04	162.24	71.65	876.48	diacylglycerol cholinephosphotransferase activity
c3778_g3_i1	O94342	GO:0001406	14.29	7.78	5.08	87.12	glycerophosphodiester transmembrane transporter activity
c6111_g1_i1	O13848	GO:0005634	969.14	687.76	50.14	960.57	nucleus
c3805_g1_i1	O42889	GO:0003674	70.13	4.75	3.38	108.18	molecular_function
c1292_g1_i1	NA	GO:0003674	41.34	0.00	0.00	98.93	molecular_function
c2705_g1_i1	Q9HDU6	GO:0005634	15.07	22.45	92.45	7.24	nucleus
c4240_g1_i1	Q7Z9I0	GO:0000296	22.97	15.46	213.35	122.11	spermine transport
c5323_g1_i1	O13905	GO:0003674	39.54	162.69	46.53	16.32	molecular_function
c3617_g1_i1	P14068	GO:0000122	21.09	0.00	0.03	19.77	negative regulation of transcription from RNA polymerase II promoter
c4340_g3_i1	O14123	GO:0005886	0.00	83.34	11.09	10.27	plasma membrane
c5379_g1_i1	O13901	GO:0004142	0.00	0.00	37.56	0.00	diacylglycerol cholinephosphotransferase activity
c5872_g1_i1	O74959	GO:0005575	349.82	75.67	47.10	452.04	cellular_component
c6384_g1_i1	NA	GO:0005575	7.53	1000.48	3.36	18.80	cellular_component
c1512_g1_i1	O14363	GO:0002181	74.54	283.67	393.45	31.33	cytoplasmic translation
c4750_g3_i1	Q92339	GO:0005215	221.05	87.07	2.56	93.49	transporter activity
c3484_g1_i1	Q10195	GO:0003674	1530.48	2751.82	81.26	938.56	molecular_function
c5136_g1_i1	NA	GO:0003674	23.15	304.05	105.77	352.16	molecular_function
c4957_g1_i1	NA	GO:0003674	2136.53	4218.78	23.29	2462.47	molecular_function
c2266_g1_i2	Q9UTE5	GO:0000166	4.54	26.02	0.00	3.19	nucleotide binding
c2926_g1_i1	O94358	GO:0003674	173.62	115.58	13.94	177.74	molecular_function
c3801_g2_i1	O94462	GO:0000288	120.38	39.17	19.19	183.10	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
c4723_g2_i1	O13854	GO:0003674	34.24	192.20	196.26	15.83	molecular_function
c4747_g1_i2	P08093	GO:0002181	925.31	2348.90	2768.00	379.99	cytoplasmic translation
c5904_g1_i1	O36029	GO:0003674	144.24	3.27	0.00	767.83	molecular_function
c5002_g1_i1	O13990	GO:0004338	112.10	247.43	52.84	726.10	glucan exo-1,3-beta-glucosidase activity
c5027_g1_i1	Q9Y7K0	GO:0003674	330.44	111.89	32.40	407.89	molecular_function
c1408_g1_i1	Q09903	GO:0000166	4.65	32.73	76.03	17.58	nucleotide binding
c3441_g1_i1	O13966	GO:0003994	1278.80	556.42	250.28	2885.78	aconitate hydratase activity
c2881_g1_i1	Q9URU6	GO:0000935	9.46	53.99	245.08	5.37	barrier septum
c6243_g1_i1	NA	GO:0000935	410.60	2323.42	2133.01	222.67	barrier septum
c1788_g1_i1	O74191	GO:0000412	15.74	156.08	547.92	21.44	histone peptidyl-prolyl isomerization
c4501_g1_i2	O60144	GO:0002181	752.29	2782.88	2041.03	340.25	cytoplasmic translation
c3801_g1_i1	NA	GO:0002181	87.74	28.30	3.67	97.12	cytoplasmic translation
c4689_g2_i1	O42663	GO:0003674	418.75	2421.90	52.84	353.08	molecular_function
c1439_g1_i1	Q9P5M9	GO:0005634	364.70	42.88	5.24	545.21	nucleus
c4775_g1_i1	Q9C0Y4	GO:0000025	2600.48	21.41	15.26	3106.78	maltose catabolic process
c4398_g2_i1	O74325	GO:0003824	58.23	11.75	8.83	135.39	catalytic activity
c2106_g1_i1	Q9UUJ9	GO:0003824	281.74	32.15	27.64	805.86	catalytic activity
c1496_g1_i1	O14258	GO:0000978	3.67	5.96	67.56	6.86	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c349_g1_i2	Q9UUN5	GO:0006888	14.96	69.87	116.18	8.52	ER to Golgi vesicle-mediated transport
c6062_g1_i1	O13696	GO:0000287	327.31	113.89	63.00	773.82	magnesium ion binding
c4386_g1_i3	P36584	GO:0002181	426.63	707.07	1233.66	136.36	cytoplasmic translation
c3216_g2_i1	Q10157	GO:0002181	657.33	1974.52	2225.61	183.79	cytoplasmic translation
c4660_g1_i1	O94435	GO:0003674	0.00	102.50	10.25	0.00	molecular_function
c1294_g1_i1	P36629	GO:0000166	34.23	201.01	73.79	22.19	nucleotide binding
c2785_g1_i2	Q9P371	GO:0004221	0.00	24.93	3.36	22.39	ubiquitin thiolesterase activity
c4201_g2_i2	O94622	GO:0000139	29.56	42.17	16.35	1.59	Golgi membrane
c6252_g1_i1	P18172	GO:0005576	0.00	0.00	0.00	92.68	extracellular region
c4181_g1_i1	Q9Y7N4	GO:0003884	17.97	31.12	6.21	75.03	D-amino-acid oxidase activity
c3912_g1_i1	P87139	GO:0000139	80.73	10.91	14.25	323.36	Golgi membrane
